statistic_yyy,district_code,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
統計年,區域別代碼,區域別,村里名稱,總計,博畢_男,博畢_女,博肄_男,博肄_女,碩畢_男,碩畢_女,碩肄_男,碩肄_女,大畢_男,大畢_女,大肄_男,大肄_女,二畢_男,二畢_女,二肄_男,二肄_女,後二畢_男,後二畢_女,後二肄_男,後二肄_女,高畢_男,高畢_女,高肄_男,高肄_女,職畢_男,職畢_女,職肄_男,職肄_女,前三肄_男,前三肄_女,國畢_男,國畢_女,國肄_男,國肄_女,初畢_男,初畢_女,初肄_男,初肄_女,小畢_男,小畢_女,小肄_男,小肄_女,自修_男,自修_女,不識_男,不識_女
108,65000140026,新北市蘆洲區,得仁里,2795,3,1,1,0,62,36,12,12,258,259,92,87,67,89,24,17,37,40,9,2,108,90,25,50,218,250,64,45,5,6,232,241,21,16,2,0,1,0,110,161,5,16,0,3,1,17
108,65000140027,新北市蘆洲區,仁德里,4973,8,2,3,0,135,85,39,24,459,565,184,159,122,135,33,19,117,91,5,6,192,143,80,60,338,394,102,80,5,19,372,425,34,21,1,1,0,0,197,237,11,30,1,8,1,30
108,65000140028,新北市蘆洲區,仁義里,5017,5,3,3,1,122,81,31,24,395,469,174,126,113,119,30,23,115,78,12,5,220,155,82,50,474,381,178,85,3,5,510,386,54,18,1,2,1,2,185,234,12,27,3,5,0,15
108,65000140029,新北市蘆洲區,光明里,4482,1,1,6,1,82,39,24,15,414,462,171,137,114,147,33,29,86,90,11,7,141,127,68,62,368,394,122,82,12,17,284,325,30,34,2,4,0,0,179,288,18,23,2,7,2,21
108,65000140030,新北市蘆洲區,保新里,3153,7,1,4,4,79,52,15,16,312,377,115,106,69,79,23,23,63,66,2,1,104,107,45,35,254,256,75,48,9,10,185,229,19,17,2,1,2,0,117,171,8,20,5,2,4,14
108,65000140031,新北市蘆洲區,長安里,4772,5,1,5,1,77,41,33,14,417,429,195,168,94,123,42,45,88,86,11,2,176,152,63,66,400,388,154,127,10,15,416,436,33,29,0,0,0,0,145,218,14,22,0,8,1,22
108,65000140032,新北市蘆洲區,民和里,2520,2,0,3,0,48,17,14,4,207,206,102,70,54,65,16,15,47,44,2,2,103,92,45,25,193,204,75,48,3,9,198,207,11,17,1,0,0,0,120,185,7,25,3,10,1,20
108,65000140033,新北市蘆洲區,忠孝里,2244,1,0,3,0,51,31,17,11,213,259,72,82,40,61,20,14,53,47,5,3,67,73,45,31,191,167,55,39,4,5,162,198,17,12,2,0,1,0,68,104,2,8,1,0,0,9
108,65000140034,新北市蘆洲區,福安里,2988,4,1,2,0,57,38,20,14,293,336,119,112,82,92,20,8,65,52,6,5,125,98,48,33,206,261,92,56,6,7,198,230,23,14,0,4,0,0,80,136,3,9,1,9,1,22
108,65000140035,新北市蘆洲區,永安里,4767,6,0,4,2,94,56,23,17,441,496,173,163,128,146,41,33,82,76,8,6,196,182,75,49,372,409,145,93,7,14,315,444,27,23,2,1,0,0,137,208,10,29,0,7,1,26
108,65000140036,新北市蘆洲區,延平里,3820,6,0,0,0,60,36,26,22,316,357,187,128,97,107,20,24,74,57,10,4,146,148,59,35,317,345,115,86,4,14,308,359,29,19,0,1,1,1,90,160,11,16,4,2,1,18
108,65000140037,新北市蘆洲區,成功里,6967,6,3,6,5,149,83,64,40,596,738,332,316,173,200,45,39,130,126,19,5,220,244,112,106,592,651,189,130,20,19,477,565,36,41,4,1,3,0,140,255,17,35,0,5,1,29
108,65000140038,新北市蘆洲區,永德里,4205,2,2,5,2,74,49,25,24,408,462,186,162,87,118,34,28,69,72,4,1,164,149,60,54,326,393,124,90,3,14,313,309,26,17,3,0,0,1,104,182,11,27,1,0,1,19
108,65000150001,新北市五股區,興珍里,4331,5,5,4,2,92,53,21,12,418,418,173,124,112,116,24,22,75,74,11,4,133,103,52,45,409,361,122,78,5,8,291,295,40,31,3,2,1,0,222,279,13,32,2,3,5,31
108,65000150002,新北市五股區,更寮里,1142,3,0,0,0,15,19,3,5,71,89,35,36,33,26,6,6,26,10,3,1,34,25,26,14,116,91,40,21,1,4,111,69,12,8,1,0,0,0,66,76,7,14,0,3,0,16
